taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2492478	Cercotrichas galactotes (Temminck, 1820)	5788860	Erythropygia galactotes (Temminck, 1820)	33	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Muscicapidae	9322	Erythropygia	4845640	Erythropygia galactotes	5788860	LC
2493976	Dicrurus modestus Hartlaub, 1849	2493976	Dicrurus modestus Hartlaub, 1849	42	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Dicruridae	9310	Dicrurus	2493960	Dicrurus modestus	2493976	LC
2494070	Ploceus melanocephalus (Linnaeus, 1758)	2494070	Ploceus melanocephalus (Linnaeus, 1758)	86	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Ploceidae	9336	Ploceus	2494008	Ploceus melanocephalus	2494070	LC
5230043	Nectarinia hunteri (Shelley, 1889)	7340862	Chalcomitra hunteri (Shelley, 1889)	2	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Nectariniidae	5259	Chalcomitra	7340859	Chalcomitra hunteri	7340862	LC
5231347	Bradypterus lopezi (Alexander, 1903)	5231347	Bradypterus lopezi (Alexander, 1903)	13	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Locustellidae	6100825	Bradypterus	3242162	Bradypterus lopezi	5231347	LC
2479018	Lybius leucocephalus (de Filippi, 1853)	2479018	Lybius leucocephalus (de Filippi, 1853)	125	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Piciformes	724	Lybiidae	4849497	Lybius	2478991	Lybius leucocephalus	2479018	LC
2480391	Stephanoaetus coronatus (Linnaeus, 1766)	2480391	Stephanoaetus coronatus (Linnaeus, 1766)	64	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Accipitriformes	7191147	Accipitridae	2877	Stephanoaetus	2480390	Stephanoaetus coronatus	2480391	NT
2491576	Emberiza poliopleura (Salvadori, 1888)	2491576	Emberiza poliopleura (Salvadori, 1888)	19	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Emberizidae	9608	Emberiza	2491468	Emberiza poliopleura	2491576	LC
5231233	Oenanthe pleschanka (Lepechin, 1770)	5231233	Oenanthe pleschanka (Lepechin, 1770)	41	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Muscicapidae	9322	Oenanthe	2492483	Oenanthe pleschanka	5231233	LC
2473787	Pternistis afer (P.L.S.Müller, 1776)	2473787	Pternistis afer (P.L.S.Müller, 1776)	36	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Galliformes	723	Phasianidae	9331	Pternistis	8128058	Pternistis afer	2473787	LC
2492853	Lanius excubitoroides Prevost & Des Murs, 1847	2492853	Lanius excubitoroides Prevost & Des Murs, 1847	120	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Laniidae	9315	Lanius	2483315	Lanius excubitoroides	2492853	LC
5228229	Balearica regulorum (E.T.Bennett, 1834)	5228229	Balearica regulorum (E.T.Bennett, 1834)	371	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Gruiformes	1493	Gruidae	9313	Balearica	2474928	Balearica regulorum	5228229	EN
6100953	Laniarius nigerrimus (Reichenow, 1879)	6100953	Laniarius nigerrimus (Reichenow, 1879)	31	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Malaconotidae	5250	Laniarius	2484859	Laniarius nigerrimus	6100953	LC
7340508	Turdoides squamulata (Shelley, 1884)	7340508	Turdoides squamulata (Shelley, 1884)	76	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Leiothrichidae	6101112	Turdoides	2493296	Turdoides squamulata	7340508	LC
2481842	Microparra capensis (A.Smith, 1839)	2481842	Microparra capensis (A.Smith, 1839)	8	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Jacanidae	9314	Microparra	2481841	Microparra capensis	2481842	LC
2492725	Apalis flavida (Strickland, 1853)	2492725	Apalis flavida (Strickland, 1853)	341	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Cisticolidae	9293	Apalis	2492701	Apalis flavida	2492725	LC
2494053	Ploceus nigricollis (Vieillot, 1805)	2494053	Ploceus nigricollis (Vieillot, 1805)	22	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Ploceidae	9336	Ploceus	2494008	Ploceus nigricollis	2494053	LC
2494057	Ploceus vitellinus (Lichtenstein, 1823)	2494057	Ploceus vitellinus (Lichtenstein, 1823)	84	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Ploceidae	9336	Ploceus	2494008	Ploceus vitellinus	2494057	LC
2480685	Hieraaetus pennatus (Gmelin, 1788)	2480685	Hieraaetus pennatus (Gmelin, 1788)	26	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Accipitriformes	7191147	Accipitridae	2877	Hieraaetus	2480683	Hieraaetus pennatus	2480685	LC
2496333	Chrysococcyx caprius (Boddaert, 1783)	2496333	Chrysococcyx caprius (Boddaert, 1783)	243	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Cuculiformes	1492	Cuculidae	9309	Chrysococcyx	2496313	Chrysococcyx caprius	2496333	LC
5789279	Sternula albifrons (Pallas, 1764)	5789279	Sternula albifrons (Pallas, 1764)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Laridae	9316	Sternula	4849628	Sternula albifrons	5789279	LC
6066199	Aquila spilogaster (Bonaparte, 1850)	6066199	Aquila spilogaster (Bonaparte, 1850)	56	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Accipitriformes	7191147	Accipitridae	2877	Aquila	2480498	Aquila spilogaster	6066199	LC
7341975	Melaniparus funereus J.Verreaux & É.Verreaux, 1855	2487933	Parus funereus (J.Verreaux & E.Verreaux, 1855)	6	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Paridae	9327	Parus	2487923	Parus funereus	2487933	LC
2479026	Lybius melanopterus (W.Peters, 1854)	2479026	Lybius melanopterus (W.Peters, 1854)	33	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Piciformes	724	Lybiidae	4849497	Lybius	2478991	Lybius melanopterus	2479026	LC
